identifier,type,research_areas,creation_mode,completeness,number_of_resources,numer_of_views,number_of_downloads
1d9c7bde-4991-4da3-a73f-7f0e2e7d551b,Data-centric Research Object,['Earth sciences'],MANUAL,70,6,1,11
7b712a64-9f59-4e6b-a209-b36b88feeee7,Data-centric Research Object,['Earth sciences'],MANUAL,70,6,1,8
5922be96-b69d-429c-ab13-5852cdcd6d09,Data-centric Research Object,['Earth sciences'],MANUAL,70,6,1,11
687e0266-fe8a-408c-9fb4-57c48640d700,Data-centric Research Object,['Earth sciences'],MANUAL,70,6,1,7
9b2a8c25-30c1-4dc2-9520-96d26cb29e72,Data-centric Research Object,['Earth sciences'],MANUAL,70,6,4,12
258c5e83-ce3b-4ea2-a845-23d0aebdae7d,Data-centric Research Object,['Earth sciences'],MANUAL,70,6,1,12
648630a1-c6a3-4f64-8a39-e4cd29a55221,Executable Research Object,"['Applied sciences', 'Hydrology', 'Meteorology']",MANUAL,84,11,9,12
00635a9e-6a0b-4280-84a3-0a622bf27482,Data-centric Research Object,['Earth sciences'],MANUAL,70,6,3,12
e6c440ad-091d-404c-bf28-a2ee04be4eaa,Executable Research Object,['Oceanography'],MANUAL,43,0,3,4
4a7315ba-326c-402b-b2c9-f3667357b0bc,Executable Research Object,['Applied sciences'],MANUAL,60,1,6,8
114d6770-78b5-4f7a-a357-360cc8095bf1,Data-centric Research Object,['Earth sciences'],MANUAL,70,6,2,10
bf4192ae-fd38-4659-97b0-8ffad60762ae,Executable Research Object,['Earth sciences'],MANUAL,76,16,3,11
ff76855f-ada3-4a78-a213-ee7b91364dcb,Executable Research Object,['Earth sciences'],MANUAL,59,16,33,25
8e232746-8c6f-4e55-bc9a-4db222e86ca1,Executable Research Object,"['Applied sciences', 'Climatology', 'Earth sciences', 'Geophysics', 'Meteorology']",MANUAL,84,1,10,11
45841548-0362-4aea-80f2-ea71d81a691f,Bibliography-centric Research Object,['Applied sciences'],MANUAL,76,3,24,28
d45bf21a-dc1e-4af1-8ee4-78c26f809487,Basic Research Object,"['Acoustics', 'Aerodynamics', 'Agronomy']",MANUAL,34,0,2,18
fe8022c8-ab35-43c7-8e94-4e5d277c31c3,Basic Research Object,"['Acoustics', 'Aerodynamics', 'Agronomy']",MANUAL,34,0,1,18
21f214d9-214a-4abf-bd75-6e877a920276,Executable Research Object,['Applied sciences'],MANUAL,100,6,11,13
0840dd87-2cb4-472f-ab81-948bba01545f,Executable Research Object,['Environmental research'],MANUAL,92,11,3,4
bc30df18-fce2-42fa-aade-1ce5b7f3ca3c,Executable Research Object,['Environmental research'],MANUAL,92,11,16,11
8134efb1-581c-4425-9b5d-7d2003b901b9,Executable Research Object,['Applied sciences'],MANUAL,100,3,10,13
789b2db0-a52d-415c-af62-c87380937d4e,Executable Research Object,['Environmental research'],MANUAL,69,0,8,7
87f47505-75d1-4658-862c-36f491d1ea26,Executable Research Object,['Environmental research'],MANUAL,69,0,2,5
92654099-ca41-4bc3-8450-0b5b267861a6,Executable Research Object,['Environmental research'],MANUAL,69,0,2,5
15d986da-2d7c-44fb-af71-700494485def,Executable Research Object,"['Ecology', 'Environmental research']",MANUAL,92,12,15,13
e4e9917f-06c2-4fe4-bda3-f0f998267384,Executable Research Object,"['Ecology', 'Environmental research']",MANUAL,92,12,4,4
4e7a0712-e600-4645-a375-5a9b0d4ef122,Data-centric Research Object,['Earth sciences'],MANUAL,69,6,10,21
8b715b0d-b5bb-4d6a-9228-704ec87652f2,Data-centric Research Object,['Earth sciences'],MANUAL,69,7,9,8
05256341-c186-4274-a42c-0f7f21cec172,Basic Research Object,['Earth sciences'],MANUAL,69,4,2,12
6eb225dd-f185-45bc-9ebe-ea0940a6e8de,Basic Research Object,"['Acoustics', 'Aerodynamics', 'Agronomy', 'Soil science']",MANUAL,34,0,1,8
d82a9648-5f2f-4b46-b85c-e3d786ddeaae,Basic Research Object,"['Acoustics', 'Aerodynamics', 'Agronomy', 'Soil science']",MANUAL,34,0,1,7
0b26bf5b-fda9-464c-9faf-577f8a9b366e,Basic Research Object,"['Acoustics', 'Aerodynamics', 'Agronomy', 'Soil science']",MANUAL,34,0,2,4
b81dcc90-9f87-4495-9de3-80d61d49c902,Basic Research Object,"['Acoustics', 'Aerodynamics', 'Agronomy', 'Soil science']",MANUAL,34,0,1,9
16b7d271-97bd-456a-9fcd-0e3944ffe98e,Basic Research Object,['Acoustics'],MANUAL,34,0,1,19
2b875f17-1c8f-452f-a05e-05b1df046d7f,Basic Research Object,"['Acoustics', 'Aerodynamics', 'Agronomy', 'Soil science']",MANUAL,34,0,1,8
6166c205-fd93-4ed2-882b-2093479d9db4,Basic Research Object,"['Acoustics', 'Aerodynamics', 'Agronomy', 'Soil science']",MANUAL,34,0,1,20
56418539-f12d-463f-bfee-d72633c38c88,Basic Research Object,"['Acoustics', 'Aerodynamics', 'Agronomy', 'Soil science']",MANUAL,34,0,1,6
f7b35db4-20da-4173-95ae-f4c22d62def3,Basic Research Object,"['Acoustics', 'Aerodynamics', 'Agronomy', 'Soil science']",MANUAL,34,0,1,18
d23500f6-dbcb-4a32-946d-f25afc69ee12,Basic Research Object,"['Acoustics', 'Aerodynamics', 'Agronomy', 'Soil science']",MANUAL,34,0,1,6
64ca48b4-c101-4072-a4c0-d817b0381d41,Bibliography-centric Research Object,"['Applied sciences', 'Climatology', 'Earth observation', 'Meteorology']",MANUAL,100,8,12,20
07b95b7b-2492-4077-9c43-23fcbf7003b8,Executable Research Object,['Environmental research'],MANUAL,92,10,3,4
a2875cdc-ba6a-49dc-aab7-cdf7c4fc0fa8,Executable Research Object,['Environmental research'],MANUAL,92,10,13,10
1b8921af-e77f-4ccf-ae38-4813cdceba0f,Executable Research Object,"['Climatology', 'Environmental research', 'Meteorology']",MANUAL,84,10,25,8
1d5d87d5-b157-42e0-af96-62ad96207a26,Executable Research Object,"['Climatology', 'Environmental research', 'Meteorology']",MANUAL,84,10,2,5
1d70f031-77a5-400f-ac81-c7714d3ba6fb,Executable Research Object,"['Climatology', 'Environmental research', 'Meteorology']",MANUAL,84,10,3,4
750e4516-2748-46de-aeea-72bd5f12bc7d,Executable Research Object,"['Climatology', 'Environmental research', 'Meteorology']",MANUAL,84,10,1,1
990129bb-230e-4025-acf8-7a6f2f38a460,Executable Research Object,"['Climatology', 'Environmental research', 'Meteorology']",MANUAL,84,10,3,4
f66e2dcd-c7f9-4ef0-9856-34ac088be93a,Executable Research Object,"['Climatology', 'Environmental research', 'Meteorology']",MANUAL,84,10,1,0
180b38a0-15d2-4661-9166-9780a5fb5b0d,Basic Research Object,"['Acoustics', 'Aerodynamics', 'Agronomy', 'Soil science']",MANUAL,43,1,2,8
ad7980bf-827a-4052-844e-fa21dacac56a,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,10
2f618744-fcc2-4cc7-8cf5-297ef245bdd3,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,3,8
f1515645-37a5-4186-bfa4-01d82efcde18,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,7
c037f704-8b5f-49f7-9cc7-bce7305fa6f5,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,8
198c4a7d-7c45-4157-98b3-ec267acc6fd0,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,8
907d1096-74fe-43bd-9b98-5b2fd53deb63,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,7
9b72cbff-eef7-4856-9b1e-a0c6f13e9d36,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,7
1f19206b-afd4-449e-b4ee-8f95e8bc5ea6,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,12
4e4dfae6-0a19-42bb-9e9c-580b82e1f729,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,10
70d33c09-2d99-4843-8f95-62ff6728edd5,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,12
b4f690d2-2c61-4e56-9eb8-aabaeb3fa10b,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,11
9ae45280-47c1-40ba-ae78-9ef6749239e0,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,7
cad6b62b-dc3d-4e45-9687-e1bc22fe4616,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,2,14
fb4ee33a-aaa0-48b1-817c-e30d5bcf3ffb,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,8
2473b920-c1c4-4949-9bb5-5585ffe90728,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,7
726a1ddd-b388-43ac-a804-75572818baf4,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,12
31e6f079-c84a-4db9-9652-8bad67d3f806,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,2,7
9434e932-903f-4aac-8223-b447da4be4a7,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,12
fbfdf17c-bd69-40f4-8a33-9a80c675184d,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,11
7c3efa86-1cb7-4aa6-a65a-fff6ae202341,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,13
9bdc059c-e0c0-4369-baef-87be2f9eff4e,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,9
1988d2f7-cab1-4c77-8ace-2bcc2a3b1141,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,7
24b1a438-94e5-4ef5-b269-5dd679cf2e4c,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,12
6efd58b7-c0d0-498e-8325-99f41e633ce2,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,7
c14a635b-6c1d-424d-ad0c-c5aca1a655fd,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,9
13c456fc-d15e-4844-83bc-9ac9db857cbd,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,12
4b13b3bf-f869-45d4-974f-e18cc354efe9,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,10
97fbbc2b-f53c-4237-91f1-71b71a9e787c,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,12
fd098a20-4359-4728-a220-5aa30f8ceb6e,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,10
cda8d11c-8222-46d2-be0b-18302d7afc5f,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,11
0580eaa5-c58e-43ab-be9e-414905615822,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,60,3,1,10
7d4b8975-c71a-4691-8b7e-cd8fb0065338,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,9
9cb9932a-7ee2-4006-9ff2-775167f012c6,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,11
48092940-6a1c-40a8-ae02-43af3899a61f,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,7
4e4a5cf1-3208-4de9-9491-3ad18553cc6d,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,12
742a87dc-e325-4e4b-ab7c-2d80e1dd483e,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,5,14
754c2fbf-5a90-491f-81ea-6da115d2de54,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,8
455c585e-9649-49e6-af93-85fc7fbdadc5,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,12
1ca6b85d-28aa-453f-ad05-81bf98b9255c,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,11
db468fbc-c6be-48f8-8f4c-37dadba08608,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,13
bf0e687a-b7b9-4c49-8547-c901178dd1b0,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,12
f4b35eea-e8f1-4259-83b3-1bfe57e38391,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,12
fdb22a3c-1b80-4117-87ff-06e2479a0d9f,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,11
